Timestamp,Object Name,Event,Ultrasonic2_Distance,Ultrasonic1_Distance,Ultrasonic1_Hala2,Ultrasonic1_Hala
2024-11-11T23:11:55.290125500,Node3,,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-11T23:11:55.315263500,Node3,[STARTED] Sent Packet Through Connected Gateway,Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-11T23:11:55.350826200,Node3,Received new packet from slave node [Node1],Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-11T23:11:55.398845100,Node3,Received new packet from slave node [Node1],Uninitialized,Uninitialized,Uninitialized,Uninitialized
2024-11-11T23:11:55.410171900,Node3,[SUCCESS] Sent Packet Through Connected Gateway,Uninitialized,Uninitialized,Uninitialized,0
2024-11-11T23:11:55.411970300,Node3,Received new packet from control node [Node2],Uninitialized,Uninitialized,Uninitialized,0
2024-11-11T23:11:55.444929300,Node3,Received new packet from slave node [Node1],Uninitialized,Uninitialized,Uninitialized,0
2024-11-11T23:11:56.302467400,Node3,,Uninitialized,Uninitialized,-1,0
2024-11-11T23:11:56.499695500,Node3,Received new packet from slave node [Node1],Uninitialized,Uninitialized,-1,0
2024-11-11T23:11:56.513062600,Node3,Received new packet from control node [Node2],Uninitialized,10,-1,0
2024-11-11T23:11:56.546731700,Node3,Received new packet from slave node [Node1],Uninitialized,10,-1,0
2024-11-11T23:11:56.593692900,Node3,Received new packet from slave node [Node1],Uninitialized,10,-1,0
2024-11-11T23:11:57.308183500,Node3,,Uninitialized,10,-1,0
2024-11-11T23:11:57.417791900,Node3,[STARTED] Sent Packet Through Connected Gateway,Uninitialized,10,-1,0
2024-11-11T23:11:57.477931200,Node3,[SUCCESS] Sent Packet Through Connected Gateway,Uninitialized,10,-1,0
2024-11-11T23:11:57.588049800,Node3,Received new packet from control node [Node2],Uninitialized,10,-1,0
2024-11-11T23:11:57.648159400,Node3,Received new packet from slave node [Node1],Uninitialized,10,-1,0
2024-11-11T23:11:57.695364200,Node3,Received new packet from slave node [Node1],Uninitialized,10,-1,0
2024-11-11T23:11:57.743036400,Node3,Received new packet from slave node [Node1],Uninitialized,10,-1,0
2024-11-11T23:11:58.318365800,Node3,,Uninitialized,10,-1,0
2024-11-11T23:11:58.659312100,Node3,Received new packet from control node [Node2],Uninitialized,10,-1,0
2024-11-11T23:11:58.797608,Node3,Received new packet from slave node [Node1],Uninitialized,10,-1,0
2024-11-11T23:11:58.845191600,Node3,Received new packet from slave node [Node1],Uninitialized,23,-1,0
2024-11-11T23:11:58.891631600,Node3,Received new packet from slave node [Node1],Uninitialized,23,-1,0
2024-11-11T23:11:59.325488300,Node3,,Uninitialized,23,-1,0
2024-11-11T23:11:59.496941600,Node3,[STARTED] Sent Packet Through Connected Gateway,Uninitialized,23,-1,0
2024-11-11T23:11:59.558540900,Node3,[SUCCESS] Sent Packet Through Connected Gateway,Uninitialized,23,-1,0
2024-11-11T23:11:59.742230200,Node3,Received new packet from control node [Node2],Uninitialized,23,-1,0
2024-11-11T23:11:59.944846500,Node3,Received new packet from slave node [Node1],Uninitialized,23,-1,0
2024-11-11T23:11:59.990363400,Node3,Received new packet from slave node [Node1],Uninitialized,22,-1,0
2024-11-11T23:12:00.037460400,Node3,Received new packet from slave node [Node1],Uninitialized,22,-1,0
2024-11-11T23:12:00.331610100,Node3,,Uninitialized,22,-1,0
2024-11-11T23:12:00.814903900,Node3,Received new packet from control node [Node2],Uninitialized,22,-1,0
2024-11-11T23:12:01.093953100,Node3,Received new packet from slave node [Node1],Uninitialized,22,-1,0
2024-11-11T23:12:01.141422200,Node3,Received new packet from slave node [Node1],Uninitialized,24,-1,0
2024-11-11T23:12:01.188772900,Node3,Received new packet from slave node [Node1],Uninitialized,24,-1,0
2024-11-11T23:12:01.342458900,Node3,,Uninitialized,24,-1,0
2024-11-11T23:12:01.562791100,Node3,[STARTED] Sent Packet Through Connected Gateway,Uninitialized,24,-1,0
2024-11-11T23:12:01.625757800,Node3,[SUCCESS] Sent Packet Through Connected Gateway,Uninitialized,24,-1,0
2024-11-11T23:12:01.887410400,Node3,Received new packet from control node [Node2],Uninitialized,24,-1,0
2024-11-11T23:12:02.246766500,Node3,Received new packet from slave node [Node1],Uninitialized,24,-1,0
2024-11-11T23:12:02.294375400,Node3,Received new packet from slave node [Node1],Uninitialized,200,-1,0
2024-11-11T23:12:02.339814100,Node3,Received new packet from slave node [Node1],Uninitialized,200,-1,0
2024-11-11T23:12:02.355198800,Node3,,Uninitialized,200,-1,0
2024-11-11T23:12:02.960613100,Node3,Received new packet from control node [Node2],Uninitialized,200,-1,0
2024-11-11T23:12:03.363042800,Node3,,Uninitialized,200,-1,0
2024-11-11T23:12:03.395811500,Node3,Received new packet from slave node [Node1],Uninitialized,200,-1,0
2024-11-11T23:12:03.441585,Node3,Received new packet from slave node [Node1],Uninitialized,30,-1,0
2024-11-11T23:12:03.488184800,Node3,Received new packet from slave node [Node1],Uninitialized,30,-1,0
2024-11-11T23:12:03.644879300,Node3,[STARTED] Sent Packet Through Connected Gateway,Uninitialized,30,-1,0
2024-11-11T23:12:03.704990900,Node3,[SUCCESS] Sent Packet Through Connected Gateway,Uninitialized,30,-1,0
2024-11-11T23:12:04.030877100,Node3,Received new packet from control node [Node2],Uninitialized,30,-1,0
2024-11-11T23:12:04.375912600,Node3,,Uninitialized,30,-1,0
2024-11-11T23:12:04.547136900,Node3,Received new packet from slave node [Node1],Uninitialized,30,-1,0
2024-11-11T23:12:04.640203,Node3,Received new packet from slave node [Node1],Uninitialized,32,-1,0
2024-11-11T23:12:04.686522,Node3,Received new packet from slave node [Node1],Uninitialized,32,-1,0
2024-11-11T23:12:05.104104600,Node3,Received new packet from control node [Node2],Uninitialized,32,-1,0
2024-11-11T23:12:05.386118500,Node3,,Uninitialized,32,-1,0
