Timestamp                     ,Object Name ,Event
2024-11-05T14:40:28.921365    ,uCont1      ,Turned ON Switch 0
2024-11-05T14:40:28.923715300 ,uCont1      ,Turned ON Switch 1
2024-11-05T14:40:28.924365200 ,uCont1      ,Turned ON Switch 2
2024-11-05T14:40:29.935981600 ,uCont1      ,Turned OFF Switch 0
2024-11-05T14:40:29.940979400 ,uCont1      ,Turned OFF Switch 1
2024-11-05T14:40:29.947062700 ,uCont1      ,Turned OFF Switch 2
2024-11-05T14:40:30.964627800 ,uCont1      ,Turned ON Switch 0
2024-11-05T14:40:30.966525500 ,uCont1      ,Turned ON Switch 1
2024-11-05T14:40:30.967629    ,uCont1      ,Turned ON Switch 2
2024-11-05T14:40:31.977634300 ,uCont1      ,Turned OFF Switch 0
2024-11-05T14:40:31.978670200 ,uCont1      ,Turned OFF Switch 1
2024-11-05T14:40:31.978670200 ,uCont1      ,Turned OFF Switch 2
2024-11-05T14:40:33.005511400 ,uCont1      ,Turned ON Switch 0
2024-11-05T14:40:33.007511400 ,uCont1      ,Turned ON Switch 1
2024-11-05T14:40:33.009513800 ,uCont1      ,Turned ON Switch 2
2024-11-05T14:40:34.020137    ,uCont1      ,Turned OFF Switch 0
2024-11-05T14:40:34.020626400 ,uCont1      ,Turned OFF Switch 1
2024-11-05T14:40:34.021632100 ,uCont1      ,Turned OFF Switch 2
2024-11-05T14:40:35.033014100 ,uCont1      ,Turned ON Switch 0
2024-11-05T14:40:35.034039400 ,uCont1      ,Turned ON Switch 1
2024-11-05T14:40:35.034039400 ,uCont1      ,Turned ON Switch 2
2024-11-05T14:40:36.048486    ,uCont1      ,Turned OFF Switch 0
2024-11-05T14:40:36.050486900 ,uCont1      ,Turned OFF Switch 1
2024-11-05T14:40:36.051483700 ,uCont1      ,Turned OFF Switch 2
2024-11-05T14:40:37.052802100 ,uCont1      ,Turned ON Switch 0
2024-11-05T14:40:37.052802100 ,uCont1      ,Turned ON Switch 1
2024-11-05T14:40:37.054196900 ,uCont1      ,Turned ON Switch 2
2024-11-05T14:40:38.067254600 ,uCont1      ,Turned OFF Switch 0
2024-11-05T14:40:38.068295    ,uCont1      ,Turned OFF Switch 1
2024-11-05T14:40:38.068295    ,uCont1      ,Turned OFF Switch 2
